RESOURCE TYPE,RESOURCE NAME,SOURCE,IDENTIFIER,NEW/REUSE,ADDITIONAL INFORMATION
Dataset,Image quantification data,Zenodo,https://doi.org/10.5281/zenodo.11111111,new,Cleaned tabular data used to produce Figure panels 1B and 2A.
Dataset,Y-Maze behavioural data,Zenodo,https://doi.org/10.5281/zenodo.11111111,new,Raw tabular data used to produce Figure panel 1A
Dataset,Raw RNA-Seq data,Gene Expression Omnibus (GEO),GEO Accession #: GSE#####;  https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE#####,new,
Software/code,R code: Analysis script,Github / Zenodo,https://doi.org/10.5281/zenodo.########,new,Script used on all image quantification data and behavioural data to produce all panels in Figure 1 and 2.
Software/code,StereoInvestigator Version 8.1,Micro-brightfield Inc.,http://www.mbfbioscience.com/stereo-investigator; RRID: SCR_002526,reuse,
Software/code,FIJI Version 2.10.0,National Institute of Health (NIH),https://imagej.net/software/fiji/; RRID: SCR_002285,reuse,
Protocol,Immunohistochemistry protocol,protocols.io,https://doi.org/#######/protocols.io.#######,new,
Protocol,Electron Microscopy,protocols.io,https://doi.org/#######/protocols.io.#######,new,
Antibody,Rabbit Anti-TH,Millipore,Cat# AB152; RRID: AB_390204,reuse,Dilution: 1:500
Antibody,Mouse Anti-TH,Synaptic Systems,Cat# 213211; RRID: AB_2636901,reuse,Dilution: 1:500
Antibody,Rabbit Anti-Iba1,Wako Chemicals,Cat# 019-19741; RRID: AB_839504,reuse,Dilution: 1:300
Experimental model: Organism/strain,"Thy1-SYN ""line 61"" TG / BDF1 cross",Mouse Genome Informatics (MGI),Identifier from MGI pending,new,
"Chemical, peptide, or recombinant protein",L-DOPA,Sigma-Aldrich,Cat# D9628,reuse,
"Chemical, peptide, or recombinant protein",Dichloropane-rhodamine red-X probe,"Sames Lab, Columbia University, Fiala et al., 2020",https://doi.org/10.1021/jacs.0c00861,reuse,
"Chemical, peptide, or recombinant protein","3,3′-diaminobenzidine",Fluka,Cat# 32750,reuse,
